fca_sym,FBgn,fa_sym
CG7691,FBgn0038626,CG7691
CG7692,FBgn0036714,CG7692
CG7707,FBgn0036703,CG7707
CG7716,FBgn0035800,t-Grip84
CG7718,FBgn0038649,PGS1
CG7730,FBgn0036689,CG7730
CG7742,FBgn0031690,CG7742
CG7755,FBgn0034105,CG7755
CG7768,FBgn0036415,CG7768
CG7794,FBgn0038565,CG7794
CG7841,FBgn0036502,CG7841
CG7848,FBgn0034127,CG7848
CG7856,FBgn0033056,CG7856
CG7857,FBgn0026738,CG7857
CG7886,FBgn0038248,CG7886
CG7907,FBgn0038887,CG7907
CG7945,FBgn0036505,CG7945
CG7974,FBgn0035254,CG7974
CG8001,FBgn0035268,CG8001
CG8006,FBgn0035857,CG8006
CG8042,FBgn0027554,CG8042
CG8043,FBgn0037610,CG8043
CG8065,FBgn0036075,CG8065
CG8072,FBgn0036070,CG8072
CG8086,FBgn0032010,CG8086
CG8097,FBgn0030660,CG8097
CG8119,FBgn0030664,CG8119
CG8136,FBgn0037616,CG8136
CG8138,FBgn0038122,Cfap299
CG8141,FBgn0038125,CG8141
CG8197,FBgn0033369,CG8197
CG8204,FBgn0034033,CG8204
CG8219,FBgn0035693,CG8219
CG8236,FBgn0037626,CG8236
CG8237,FBgn0033350,CG8237
CG8245,FBgn0033031,CG8245
CG8252,FBgn0033344,CG8252
CG8260,FBgn0030684,CG8260
CG8292,FBgn0032004,CG8292
CG8298,FBgn0033673,CG8298
CG8336,FBgn0036020,Cyp40
CG8349,FBgn0032003,CG8349
CG8379,FBgn0037638,CG8379
CG8388,FBgn0034062,CG8388
CG8407,FBgn0033687,CG8407
CG8476,FBgn0038127,CG8476
CG8478,FBgn0037746,CG8478
CG8508,FBgn0038123,CG8508
CG8509,FBgn0030696,CG8509
CG8517,FBgn0034472,CG8517
CG8526,FBgn0037759,CG8526
CG8531,FBgn0033918,CG8531
CG8549,FBgn0035714,Sbds
CG8564,FBgn0035776,CG8564
CG8565,FBgn0030697,CG8565
CG8584,FBgn0033322,CG8584
CG8617,FBgn0033925,CG8617
CG8673,FBgn0031986,CG8673
CG8701,FBgn0033287,CG8701
CG8712,FBgn0033258,uno
CG8728,FBgn0033235,CG8728
CG8746,FBgn0033330,CG8746
CG8750,FBgn0040812,CG8750
CG8757,FBgn0036380,CG8757
CG8800,FBgn0033408,ODA-Dnal1
CG8813,FBgn0031476,CG8813
CG8838,FBgn0031526,CG8838
CG8840,FBgn0031531,CG8840
CG8851,FBgn0031546,CG8851
CG8892,FBgn0031664,CG8892
CG8908,FBgn0034493,CG8908
CG8958,FBgn0030725,CG8958
CG9010,FBgn0034173,CG9010
CG9014,FBgn0028847,CG9014
CG9016,FBgn0031751,CG9016
CG9030,FBgn0030599,CG9030
CG9072,FBgn0030614,CG9072
CG9083,FBgn0035077,CG9083
CG9101,FBgn0030622,CG9101
CG9106,FBgn0030624,CG9106
CG9123,FBgn0030629,CG9123
CG9129,FBgn0035196,Bfc
CG9133,FBgn0035198,CG9133
CG9147,FBgn0031774,CG9147
CG9173,FBgn0035218,CG9173
CG9222,FBgn0031784,CG9222
CG9254,FBgn0028513,CG9254
CG9263,FBgn0032530,CG9263
CG9272,FBgn0032907,Nthl1
CG9294,FBgn0034666,CG9294
CG9308,FBgn0034681,CG9308
CG9313,FBgn0034566,CG9313
CG9314,FBgn0032061,CatB
CG9316,FBgn0032878,CG9316
CG9389,FBgn0037064,CG9389
CG9393,FBgn0037710,CG9393
CG9406,FBgn0034592,CG9406
CG9410,FBgn0033086,CG9410
CG9445,FBgn0040674,CG9445
CG9483,FBgn0032072,CG9483
CG9500,FBgn0031804,CG9500
CG9550,FBgn0031826,CG9550
CG9570,FBgn0031085,CG9570
CG9581,FBgn0031093,CG9581
CG9582,FBgn0032090,CG9582
CG9592,FBgn0036426,CG9592
CG9624,FBgn0038213,CG9624
CG9632,FBgn0038377,CG9632
CG9641,FBgn0031483,CG9641
CG9692,FBgn0036654,CG9692
CG9722,FBgn0038209,Recs1
CG9723,FBgn0030768,Nemp
CG9737,FBgn0039758,CG9737
CG9776,FBgn0027866,CG9776
CG9777,FBgn0030764,CG9777
CG9853,FBgn0086605,CG9853
CG9855,FBgn0037242,March5
CG9861,FBgn0034844,CG9861
CG9863,FBgn0034846,CG9863
CG9875,FBgn0034850,CG9875
CG9899,FBgn0034829,CG9899
CG9920,FBgn0038200,CG9920
CG9922,FBgn0038196,CG9922
CG9934,FBgn0032467,Ube4B
CG9961,FBgn0031451,CG9961
CG9962,FBgn0031441,CG9962
CG9970,FBgn0035380,CG9970
CG9992,FBgn0030744,CG9992
CLS,FBgn0039360,CLS
CNT1,FBgn0033371,CNT1
COX4L,FBgn0033020,COX4L
COX5BL,FBgn0031831,COX5BL
COX6AL,FBgn0050093,COX6AL
COX7AL,FBgn0037579,COX7AL
CR10991,FBgn0037389,CR10991
CR11023,FBgn0031208,CR11023
CR17438,FBgn0030116,CR17438
CR30409,FBgn0050409,CR30409
CR31700,FBgn0051700,CR31700
CR31958,FBgn0051958,CR31958
CR33221,FBgn0053221,CR33221
CR33318,FBgn0053318,CR33318
CR33319,FBgn0053319,CR33319
CR34262,FBgn0085291,CR34262
CR41243,FBgn0085570,CR41243
CR41423,FBgn0085644,CR41423
CR41440,FBgn0084049,CR41440
CR42490,FBgn0086200,CR42490
CR42545,FBgn0260718,CR42545
CR42842,FBgn0262031,CR42842
CR43100,FBgn0262546,CR43100
CR43142,FBgn0262616,CR43142
CR43170,FBgn0262789,CR43170
CR43441,FBgn0263389,CR43441
CR43669,FBgn0263744,CR43669
CR43734,FBgn0263985,CR43734
CR43972,FBgn0264703,CR43972
CR43975,FBgn0264706,CR43975
CR45227,FBgn0266762,CR45227
CR45391,FBgn0266940,CR45391
CR45771,FBgn0267418,CR45771
CR45775,FBgn0267422,CR45775
CR7448,FBgn0037143,CR7448
CSN1a,FBgn0028838,CSN1a
CSN7,FBgn0028836,CSN7
CYLD,FBgn0032210,CYLD
Camp,FBgn0034210,Camp
Cand1,FBgn0027568,Cand1
Cbp20,FBgn0022943,Cbp20
Cby,FBgn0067317,Cby
Cc2d2a,FBgn0263113,Cc2d2a
Cchl,FBgn0038925,Cchl
CdGAPr,FBgn0032821,CdGAPr
Cdc23,FBgn0032863,Cdc23
Cdc27,FBgn0012058,Cdc27
Cdc37,FBgn0011573,Cdc37
Cdc7,FBgn0028360,Cdc7
Cdlc2,FBgn0026141,Cdlc2
Cep135,FBgn0036480,Cep135
Cep89,FBgn0266708,Cep89
Cep97,FBgn0031575,Cep97
ChLD3,FBgn0032598,ChLD3
Cht12,FBgn0050293,Cht12
CkIIbeta2,FBgn0026136,CkIIβ2
ClpP,FBgn0032229,ClpP
Cnx14D,FBgn0264077,Cnx14D
Cp110,FBgn0031191,Cp110
Cpr66Cb,FBgn0035875,Cpr66Cb
Crtp,FBgn0029501,Crtp
Ctr1C,FBgn0062411,Ctr1C
Cul2,FBgn0032956,Cul2
Cul3,FBgn0261268,Cul3
Cyp312a1,FBgn0036778,Cyp312a1
CysRS-m,FBgn0033900,CysRS-m
Cyt-c-d,FBgn0086907,Cyt-c-d
Cyt-c1L,FBgn0039651,Cyt-c1L
D1,FBgn0000412,D1
DIP-zeta,FBgn0051708,DIP-ζ
DJ-1alpha,FBgn0033885,DJ-1α
DUBAI,FBgn0033738,DUBAI
Den1,FBgn0033716,Den1
Dera,FBgn0033735,Dera
Dgk,FBgn0085390,Dgk
Dhc16F,FBgn0283476,Dhc16F
Dhc36C,FBgn0013810,Dhc36C
Dhc62B,FBgn0013811,Dhc62B
Dhc98D,FBgn0013813,Dhc98D
Dhod,FBgn0000447,Dhod
Diap2,FBgn0015247,Diap2
Dic2,FBgn0038797,Dic2
Dic3,FBgn0033248,Dic3
Dic4,FBgn0036808,Dic4
Dic61B,FBgn0263988,Dic61B
Dis3l2,FBgn0035111,Dis3l2
Dlc90F,FBgn0024432,Dlc90F
DnaJ-H,FBgn0032474,DnaJ-H
Dnali1,FBgn0037962,Dnali1
DppIII,FBgn0037580,DppIII
Dpy-30L2,FBgn0035491,Dpy-30L2
Drep3,FBgn0028407,Drep3
Drp1,FBgn0026479,Drp1
Duba,FBgn0036180,Duba
EAChm,FBgn0036470,EAChm
EMC8-9,FBgn0034791,EMC8-9
Eb1,FBgn0027066,Eb1
Efhc1.1,FBgn0030691,Efhc1.1
Efhc1.2,FBgn0034487,Efhc1.2
Eglp1,FBgn0034882,Eglp1
Elba3,FBgn0031621,Elba3
Erk7,FBgn0052703,Erk7
Ets96B,FBgn0039225,Ets96B
FDY,FBgn0265047,FDY
Fancm,FBgn0038889,Fancm
Fer3HCH,FBgn0030449,Fer3HCH
Fgop2,FBgn0031871,Fgop2
Fmr1,FBgn0028734,Fmr1
Frl,FBgn0267795,Frl
FucTB,FBgn0032117,FucTB
FucTD,FBgn0035217,FucTD
Fum2,FBgn0029890,Fum2
Fum3,FBgn0036162,Fum3
Fum4,FBgn0051874,Fum4
G6P,FBgn0031463,G6P
GC2,FBgn0037970,GC2
Gas8,FBgn0029667,Gas8
Gem2,FBgn0036850,Gem2
Gem4b,FBgn0052786,Gem4b
Gem4c,FBgn0052783,Gem4c
GlcAT-S,FBgn0032135,GlcAT-S
Gld2,FBgn0038934,Gld2
Glut3,FBgn0015230,Glut3
Golgin84,FBgn0039188,Golgin84
Gpdh2,FBgn0034825,Gpdh2
Gpdh3,FBgn0263048,Gpdh3
Gpo2,FBgn0033190,Gpo2
Gpo3,FBgn0028848,Gpo3
Gr59a,FBgn0045483,Gr59a
Gr64a,FBgn0045479,Gr64a
Grx1t,FBgn0034658,Grx1t
GstO1,FBgn0035907,GstO1
GstS1,FBgn0010226,GstS1
HBS1,FBgn0042712,HBS1
HP1e,FBgn0037675,HP1e
HP6,FBgn0031613,HP6
Hat1,FBgn0037376,Hat1
HemK1,FBgn0031817,HemK1
Hen1,FBgn0033686,Hen1
Hex-t1,FBgn0042711,Hex-t1
Hex-t2,FBgn0042710,Hex-t2
Hexim,FBgn0038251,Hexim
Him,FBgn0030900,Him
Hrb98DE,FBgn0001215,Hrb98DE
Hrd3,FBgn0028475,Hrd3
Hsc70-1,FBgn0001216,Hsc70-1
Hsc70-2,FBgn0001217,Hsc70-2
Hsc70-5,FBgn0001220,Hsc70-5
Hsp60B,FBgn0011244,Hsp60B
Hsp60C,FBgn0031728,Hsp60C
Hsp60D,FBgn0032525,Hsp60D
HtrA2,FBgn0038233,HtrA2
Hydr1,FBgn0033382,Hydr1
I-3,FBgn0261624,I-3
I-t,FBgn0025821,I-t
ICA69,FBgn0037050,ICA69
IFT57,FBgn0031550,IFT57
Ibf2,FBgn0037669,Ibf2
Idh3b,FBgn0038922,Idh3b
Imp,FBgn0285926,Imp
Ing5,FBgn0032516,Ing5
Inx5,FBgn0030989,Inx5
Inx6,FBgn0027107,Inx6
Ir41a,FBgn0040849,Ir41a
Ir75c,FBgn0261401,Ir75c
Ir75d,FBgn0036829,Ir75d
Ir94b,FBgn0051424,Ir94b
Iru,FBgn0037653,Iru
Iswi,FBgn0011604,Iswi
JIL-1,FBgn0020412,JIL-1
JYalpha,FBgn0267363,JYalpha
Jupiter,FBgn0051363,Jupiter
Kank,FBgn0027596,Kank
Kap-alpha1,FBgn0024889,Kap-α1
Kdm4B,FBgn0053182,Kdm4B
Kebab,FBgn0028952,Kebab
Klp10A,FBgn0030268,Klp10A
Klp3A,FBgn0011606,Klp3A
Klp59C,FBgn0034824,Klp59C
Klp59D,FBgn0034827,Klp59D
Klp67A,FBgn0004379,Klp67A
LIMK1,FBgn0283712,LIMK1
LS2,FBgn0034834,LS2
Las,FBgn0029158,Las
Lasp,FBgn0063485,Lasp
Lhr,FBgn0034217,Lhr
Lim3,FBgn0002023,Lim3
Lip2,FBgn0024740,Lip2
Lkb1,FBgn0038167,Lkb1
Lnpk,FBgn0033309,Lnpk
Lon,FBgn0036892,Lon
MAN1,FBgn0034962,MAN1
MBD-like,FBgn0027950,MBD-like
MCPH1,FBgn0260959,MCPH1
MED15,FBgn0027592,MED15
MED27,FBgn0037359,MED27
MED30,FBgn0035149,MED30
MED31,FBgn0037262,MED31
Menl-2,FBgn0029153,Menl-2
Mical,FBgn0053208,Mical
Mics1,FBgn0037506,Mics1
Mink,FBgn0039250,Mink
Miro,FBgn0039140,Miro
Mks1,FBgn0030395,Mks1
Mlf,FBgn0034051,Mlf
Mms19,FBgn0037301,Mms19
Mob4,FBgn0259483,Mob4
Mpc1,FBgn0038662,Mpc1
Mpp6,FBgn0032921,Mpp6
Mst27D,FBgn0051907,Mst27D
Mst33A,FBgn0028412,Mst33A
Mst36Fa,FBgn0086681,Mst36Fa
Mst36Fb,FBgn0261349,Mst36Fb
Mst77F,FBgn0086915,Mst77F
Mst77Y-7,FBgn0267492,Mst77Y-7
Mst84B,FBgn0037464,Mst84B
Mst84Da,FBgn0004172,Mst84Da
Mst84Db,FBgn0004173,Mst84Db
Mst87F,FBgn0002862,Mst87F
Mst89B,FBgn0020399,Mst89B
Mst98Ca,FBgn0002865,Mst98Ca
Mst98Cb,FBgn0004171,Mst98Cb
MstProx,FBgn0015770,MstProx
Mtl,FBgn0039532,Mtl
Mul1,FBgn0035483,Mul1
ND-20L,FBgn0039669,ND-20L
ND-24L,FBgn0036706,ND-24L
ND-49L,FBgn0039331,ND-49L
ND-51L1,FBgn0034251,ND-51L1
ND-51L2,FBgn0034007,ND-51L2
ND-B14.5AL,FBgn0037172,ND-B14.5AL
Naa20B,FBgn0051851,Naa20B
Naa30B,FBgn0052319,Naa30B
Naa35,FBgn0034982,Naa35
Naa40,FBgn0039687,Naa40
Nelf-E,FBgn0017430,Nelf-E
Neos,FBgn0024542,Neos
Nep5,FBgn0039478,Nep5
Neurl4,FBgn0283503,Neurl4
NiPp1,FBgn0026402,NiPp1
NimA,FBgn0261514,NimA
Nna1,FBgn0265726,Nna1
Nnf1a,FBgn0034523,Nnf1a
Noa36,FBgn0026400,Noa36
Non3,FBgn0038585,Non3
Not11,FBgn0034963,Not11
Ns4,FBgn0032882,Ns4
Ntf-2r,FBgn0032680,Ntf-2r
Ntl,FBgn0267326,Ntl
Ntmt,FBgn0033457,Ntmt
Nuf2,FBgn0031886,Nuf2
Nulp1,FBgn0027549,Nulp1
Nup160,FBgn0262647,Nup160
Nup54,FBgn0033737,Nup54
Nup58,FBgn0038722,Nup58
Nup62,FBgn0034118,Nup62
ORY,FBgn0046323,ORY
OXA1L,FBgn0027615,OXA1L
Oatp30B,FBgn0032123,Oatp30B
OdsH,FBgn0026058,OdsH
Optix,FBgn0025360,Optix
Or23a,FBgn0026395,Or23a
Or74a,FBgn0036709,Or74a
Or83c,FBgn0037399,Or83c
Oseg1,FBgn0265102,Oseg1
Osi5,FBgn0037413,Osi5
P5CDh2,FBgn0053092,P5CDh2
PGAP5,FBgn0031997,PGAP5
PI31,FBgn0033669,PI31
PICK1,FBgn0032447,PICK1
PIG-N,FBgn0033479,PIG-N
PIG-V,FBgn0265174,PIG-V
POLDIP2,FBgn0037329,POLDIP2
PPYR1,FBgn0030623,PPYR1
PRY,FBgn0267489,PRY
Paip2,FBgn0038100,Paip2
Parp16,FBgn0034129,Parp16
Pcyt2,FBgn0035231,Pcyt2
Pect,FBgn0032482,Pect
Pen,FBgn0287720,Pen
Pfdn5,FBgn0038976,Pfdn5
Pfdn6,FBgn0036918,Pfdn6
Pfk,FBgn0003071,Pfk
Pgam5-2,FBgn0035004,Pgam5-2
Pglym87,FBgn0011270,Pgam2
Pgm2a,FBgn0033377,Pgm2a
Pgm2b,FBgn0033969,Pgm2b
Phlpp,FBgn0032749,Phlpp
Pi4KIIalpha,FBgn0037339,Pi4KIIα
Pif1B,FBgn0046874,Pif1B
Pif2,FBgn0046873,Pif2
Pk34A,FBgn0028410,Pk34A
Pka-C2,FBgn0000274,Pka-C2
Pka-C3,FBgn0000489,Pka-C3
Pkd2,FBgn0041195,Pkd2
Plap,FBgn0024314,Plap
Pms2,FBgn0011660,Pms2
Poc1,FBgn0036354,Poc1
Pof,FBgn0035047,Pof
Pop2,FBgn0036239,Pop2
Porin2,FBgn0069354,Porin2
Pp1-13C,FBgn0003132,Pp1-13C
Pp1-Y2,FBgn0046698,Pp1-Y2
PpD3,FBgn0005777,PpD3
PpD5,FBgn0005778,PpD5
PpD6,FBgn0005779,PpD6
PpN58A,FBgn0025573,PpN58A
PpY-55A,FBgn0003140,PpY-55A
Ppi1,FBgn0051025,Ppi1
Ppm1,FBgn0035143,Ppm1
Ppox,FBgn0020018,Ppox
Ppr-Y,FBgn0046697,Ppr-Y
Prosalpha3T,FBgn0261395,Prosα3T
Prosalpha4T1,FBgn0265606,Prosα4T1
Prosalpha4T2,FBgn0017556,Prosα4T2
Prosalpha6T,FBgn0032492,Prosα6T
Prosbeta2R1,FBgn0029812,Prosβ2R1
Prosbeta2R2,FBgn0037296,Prosβ2R2
Prosbeta4R1,FBgn0031442,Prosβ4R1
Prosbeta4R2,FBgn0031443,Prosβ4R2
Prosbeta5R1,FBgn0034842,Prosβ5R1
Prosbeta5R2,FBgn0051742,Prosβ5R2
ProtA,FBgn0013300,ProtA
ProtB,FBgn0013301,ProtB
Prtl99C,FBgn0039707,Prtl99C
Psa,FBgn0261243,Psa
Pstk,FBgn0031041,Pstk
Pzl,FBgn0267430,Pzl
Qsox1,FBgn0033814,Qsox1
Rab3-GAP,FBgn0027505,Rab3-GAP
Rab30,FBgn0031882,Rab30
Rab9D,FBgn0067052,Rab9D
Rab9Db,FBgn0030221,Rab9Db
Rab9E,FBgn0052673,Rab9E
Rab9Fa,FBgn0052671,Rab9Fa
Rab9Fb,FBgn0052670,Rab9Fb
RabX2,FBgn0030200,RabX2
RacGAP84C,FBgn0045843,RacGAP84C
Rad60,FBgn0039065,Rad60
Ran-like,FBgn0036497,Ran-like
RanBP3,FBgn0039110,RanBP3
RanGAP,FBgn0003346,RanGAP
Ranbp16,FBgn0053180,Ranbp16
Ranbp9,FBgn0037894,Ipo9
Rb97D,FBgn0004903,Rb97D
Rbbp5,FBgn0036973,Rbbp5
Rbp4,FBgn0010258,Rbp4
Rcd-1,FBgn0031047,Rcd-1
Rcd-1r,FBgn0032089,Rcd-1r
Rcd7,FBgn0260461,Rcd7
ReepA,FBgn0261564,ReepA
Reepl1,FBgn0030313,Reepl1
Ref2,FBgn0032439,Ref2
Rexo5,FBgn0286051,Rexo5
Rhau,FBgn0032883,Rhau
RhoGEF3,FBgn0264707,RhoGEF3
Rnf146,FBgn0036897,Rnf146
Roc1b,FBgn0040291,Roc1b
Roe1,FBgn0014877,Roe1
RpII18,FBgn0003275,Polr2F
RpL10Aa,FBgn0038281,RpL10Aa
RpL22-like,FBgn0034837,RpL22-like
RpL37b,FBgn0034822,RpL37-2
RpS10a,FBgn0027494,RpS10a
RpS19b,FBgn0039129,RpS19b
Rpn12R,FBgn0036465,Rpn12R
Rpn13R,FBgn0029745,Rpn13R
Rpp14b,FBgn0039744,Rpp14b
Rpt3R,FBgn0037742,Rpt3R
Rpt4R,FBgn0036224,Rpt4R
Rpt6R,FBgn0039788,Rpt6R
Rrp6,FBgn0038269,Rrp6
Rsbp15,FBgn0038000,Rsbp15
Rsph1,FBgn0032478,Rsph1
Rsph3,FBgn0052392,Rsph3
Rsph4a,FBgn0034957,Rsph4a
Rsph9,FBgn0051803,Rsph9
Rtf1,FBgn0034722,Rtf1
Rtnl2,FBgn0015831,Rtnl2
S-Lap1,FBgn0035915,S-Lap1
S-Lap2,FBgn0052351,S-Lap2
S-Lap3,FBgn0045770,S-Lap3
S-Lap4,FBgn0052064,S-Lap4
S-Lap5,FBgn0033860,S-Lap5
S-Lap7,FBgn0033868,S-Lap7
S-Lap8,FBgn0034132,S-Lap8
SA-2,FBgn0043865,SA2
SAK,FBgn0026371,SAK
SCCRO,FBgn0036510,SCCRO
SCCRO3,FBgn0033784,SCCRO3
SCCRO4,FBgn0036967,SCCRO4
SMC5,FBgn0052438,SMC5
SMSr,FBgn0052380,SMSr
Sac1,FBgn0283500,Sac1
Sas-6,FBgn0039731,Sas-6
Sbat,FBgn0051950,Sbat
Sbf,FBgn0025802,Sbf
Scsalpha2,FBgn0038708,Scsα2
SdhAL,FBgn0036222,SdhAL
SdhBL,FBgn0030975,SdhBL
Sdic1,FBgn0067861,Sdic1
Sdic2,FBgn0053497,Sdic2
Sdic4,FBgn0053499,Sdic4
Sgt,FBgn0032640,Sgt
Sgt1,FBgn0265101,Sgt1
Sirt2,FBgn0038788,Sirt2
Skadu,FBgn0259922,Skadu
Ski6,FBgn0032487,Ski6
SkpB,FBgn0026176,SkpB
SkpD,FBgn0026174,SkpD
SkpE,FBgn0031074,SkpE
SkpF,FBgn0034863,SkpF
Slc25A46b,FBgn0032664,Slc25A46b
Sld5,FBgn0039403,Sld5
Slmap,FBgn0040011,Slmap
SmD1,FBgn0261933,SmD1
Smn,FBgn0036641,Smn
Smurf,FBgn0029006,Smurf
Smyd4-1,FBgn0033427,Smyd4-1
Smyd4-4,FBgn0027495,Smyd4-4
Snp,FBgn0265192,Snp
Spag1,FBgn0039463,Spag1
Spc105R,FBgn0037025,Spc105R
Spn42Dc,FBgn0033113,Spn42Dc
Spn47C,FBgn0033574,Spn47C
Sprn,FBgn0036218,Sprn
Sr-CII,FBgn0020377,Sr-CII
Srlp,FBgn0038049,Srlp
Srpk79D,FBgn0025702,Srpk79D
Ssl,FBgn0015300,Ssl
Stoml2,FBgn0034936,Stoml2
Strip,FBgn0035437,Strip
Su(Ste):CR42422,FBgn0259853,Su(Ste):CR42422
Svil,FBgn0266696,Svil
Syp,FBgn0038826,Syp
TBC1D23,FBgn0031304,TBC1D23
TSG101,FBgn0036666,TSG101
TTLL1A,FBgn0030823,TTLL1A
TTLL1B,FBgn0052238,TTLL1B
TTLL3B,FBgn0031853,TTLL3B
TTLL4A,FBgn0026147,TTLL4A
TTLL4B,FBgn0031574,TTLL4B
TTLL5,FBgn0051108,TTLL5
TTLL6A,FBgn0034459,TTLL6A
TTLL6B,FBgn0039501,TTLL6B
Taf12L,FBgn0031623,Taf12L
Taf13,FBgn0032847,Taf13
Tailor,FBgn0037470,Tailor
Tango11,FBgn0050404,Tango11
TbCMF46,FBgn0032163,TbCMF46
Tbce,FBgn0033055,Tbce
Tektin-A,FBgn0028902,Tektin-A
Tektin-C,FBgn0035638,Tektin-C
Tengl1,FBgn0051682,Tengl1
Tengl2,FBgn0052463,Tengl2
Tengl3,FBgn0051679,Tengl3
Tengl4,FBgn0037857,Tengl4
TfIIA-S-2,FBgn0040338,TfIIA-S-2
TfIIB,FBgn0004915,TfIIB
Theg,FBgn0038921,Theg
Tim10,FBgn0027360,Tim10
Tim13,FBgn0036204,Tim13
Tim17a1,FBgn0038018,Tim17a1
Tim17a2,FBgn0037307,Tim17a2
Tim17b1,FBgn0037310,Tim17b1
Tim17b2,FBgn0020371,Tim17b2
Tim23,FBgn0267976,Tim23
Tim8,FBgn0027359,Tim8
Tim9a,FBgn0030480,Tim9a
Tmem18,FBgn0050051,Tmem18
Tom20,FBgn0036928,Tom20
Tom70,FBgn0032397,Tom70
Topors,FBgn0267351,Topors
Tpc2,FBgn0035078,Tpc2
Tpl94D,FBgn0051281,Tpl94D
Tpr2,FBgn0032586,Tpr2
Trap1,FBgn0026761,Trap1
Tret1-2,FBgn0033644,Tret1l
Trf,FBgn0010287,Trf
Trf4,FBgn0031444,Trf4
Trf4-2,FBgn0039251,Trf4-2
TrpRS,FBgn0010803,TrpRS
TrpRS-m,FBgn0036763,TrpRS-m
TrxT,FBgn0029752,TrxT
Trxr-2,FBgn0037170,Trxr2
Tsen54,FBgn0036266,Tsen54
Tsp33B,FBgn0032376,Tsp33B
Tsp42A,FBgn0033042,Tsp42A
TwdlV,FBgn0037227,TwdlV
Twdlalpha,FBgn0052574,Twdlα
UQCR-14L,FBgn0039576,UQCR-14L
Ubc2,FBgn0015320,Ubc2
Ubc4,FBgn0015321,Ubc4
Ubc84D,FBgn0017456,Ubc84D
Ubc87F,FBgn0267383,Ubc87F
UbcE2M,FBgn0035853,UbcE2M
Ube3a,FBgn0061469,Ube3a
Ubi-p63E,FBgn0003943,Ubi-p63E
Ublcp1,FBgn0027526,Ublcp1
Uch,FBgn0010288,Uch
Uch-L5,FBgn0011327,Uch-L5
Uch-L5R,FBgn0030370,Uch-L5R
Ucp4C,FBgn0031757,Ucp4C
Ufd1-like,FBgn0036136,Ufd1
Ufd4,FBgn0032208,Ufd4
Ugt305A1,FBgn0042179,Ugt305A1
Upf3,FBgn0034923,Upf3
Uros2,FBgn0038361,Uros2
Usp2,FBgn0031187,Usp2
Usp20-33,FBgn0033916,Usp20-33
Usp30,FBgn0029819,Usp30
Usp7,FBgn0030366,Usp7
ValRS-m,FBgn0035942,ValRS-m
Vha100-3,FBgn0028669,Vha100-3
Vha14-2,FBgn0037402,Vha14-2
Vha16-2,FBgn0028668,Vha16-2
Vha16-3,FBgn0028667,Vha16-3
Vha16-4,FBgn0262513,Vha16-4
Vha16-5,FBgn0032294,Vha16-5
Vha36-2,FBgn0033706,Vha36-2
Vha68-3,FBgn0032464,Vha68-3
VhaAC39-2,FBgn0039058,VhaAC39-2
VhaM9.7-d,FBgn0038458,VhaM9.7-d
VhaPPA1-2,FBgn0262514,VhaPPA1-2
Vps13B,FBgn0039727,Vps13B
Vps28,FBgn0021814,Vps28
Vps8,FBgn0035704,Vps8
Vrp1,FBgn0243516,Vrp1
Vsp37A,FBgn0016038,Vsp37A
WDY,FBgn0267449,WDY
Wdr59,FBgn0032339,Wdr59
Wdr92,FBgn0036771,Wdr92
Wee1,FBgn0011737,Wee1
Wnt2,FBgn0004360,Wnt2
YME1L,FBgn0034792,YME1L
Z600,FBgn0004052,Z600
Zif,FBgn0037446,Zif
Zmynd10,FBgn0266709,Zmynd10
ZnT33D,FBgn0051860,ZnT33D
achi,FBgn0033749,achi
adp,FBgn0000057,adp
aft,FBgn0026309,aft
alph,FBgn0086361,alph
alpha-Est3,FBgn0015571,α-Est3
alpha-Est6,FBgn0015574,α-Est6
alphaKap4,FBgn0035657,αKap4
alphaTub84D,FBgn0003885,αTub84D
alphaTub85E,FBgn0003886,αTub85E
aly,FBgn0004372,aly
ana,FBgn0011746,ana
ana1,FBgn0262167,ana1
asRNA:CR31429,FBgn0063298,asRNA:CR31429
asRNA:CR32252,FBgn0052252,asRNA:CR32252
asRNA:CR42743,FBgn0261707,asRNA:CR42743
asRNA:CR43152,FBgn0262682,asRNA:CR43152
asRNA:CR43159,FBgn0262689,asRNA:CR43159
asRNA:CR43160,FBgn0262690,asRNA:CR43160
asRNA:CR43299,FBgn0262991,asRNA:CR43299
asRNA:CR43413,FBgn0263332,asRNA:CR43413
asRNA:CR43433,FBgn0263381,asRNA:CR43433
asRNA:CR43465,FBgn0263442,asRNA:CR43465
asRNA:CR43466,FBgn0263443,asRNA:CR43466
asRNA:CR43476,FBgn0263453,asRNA:CR43476
asRNA:CR43477,FBgn0263454,asRNA:CR43477
asRNA:CR43478,FBgn0263455,asRNA:CR43478
asRNA:CR43637,FBgn0263628,asRNA:CR43637
asRNA:CR43728,FBgn0263976,asRNA:CR43728
asRNA:CR43787,FBgn0264328,asRNA:CR43787
asRNA:CR43812,FBgn0264360,asRNA:CR43812
asRNA:CR43824,FBgn0264372,asRNA:CR43824
asRNA:CR43876,FBgn0264468,asRNA:CR43876
asRNA:CR43885,FBgn0264477,asRNA:CR43885
asRNA:CR43903,FBgn0264504,asRNA:CR43903
asRNA:CR44027,FBgn0264819,asRNA:CR44027
asRNA:CR44045,FBgn0264837,asRNA:CR44045
asRNA:CR44064,FBgn0264873,asRNA:CR44064
asRNA:CR44160,FBgn0265043,asRNA:CR44160
